Time,DroneID,X,Y,Z,Target position,Target Speed,Origin Lat,Origin Lon,Destination Lat,Destination Lon,Completed
240.00,FP000001,2394.34,60.96,-26278.75,"(2588.579, 60.96, -26609.1)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
240.00,FP000002,2266.11,0.00,-24476.71,"(2266.109, 0, -24476.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
240.00,FP000003,1226.39,0.00,-25083.83,"(1226.389, 0, -25083.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
240.00,FP000004,2885.70,60.96,-26322.67,"(2731.973, 60.96, -26061.21)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
240.00,FP000005,3383.15,60.96,-27167.04,"(3341.486, 60.96, -27097.74)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
240.00,FP000006,3994.37,91.44,-26624.69,"(3831.32, 91.44, -26347.43)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
250.00,FP000001,2495.71,60.96,-26451.15,"(2588.579, 60.96, -26609.1)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
250.00,FP000002,2266.11,0.00,-24476.71,"(2266.109, 0, -24476.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
250.00,FP000003,1226.39,0.00,-25083.83,"(1226.389, 0, -25083.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
250.00,FP000004,2784.33,60.96,-26150.27,"(2731.973, 60.96, -26061.21)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
250.00,FP000005,3281.10,60.96,-26995.04,"(3138.296, 60.96, -26752.23)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
250.00,FP000006,3892.99,91.44,-26452.29,"(3831.32, 91.44, -26347.43)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
260.00,FP000001,2604.29,60.96,-26596.37,"(2935.125, 60.96, -26406.72)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
260.00,FP000002,2266.11,0.00,-24476.71,"(2266.109, 0, -24476.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
260.00,FP000003,1226.39,0.00,-25083.83,"(1226.389, 0, -25083.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
260.00,FP000004,2682.97,60.96,-25977.87,"(2528.84, 60.96, -25715.69)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
260.00,FP000005,3179.70,60.96,-26822.63,"(3138.296, 60.96, -26752.23)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
260.00,FP000006,3791.60,91.44,-26279.89,"(3628.16, 91.44, -26001.92)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
260.00,FP000007,4497.83,60.96,-26886.46,"(4237.696, 60.96, -27038.43)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
270.00,FP000001,2777.80,60.96,-26496.90,"(2935.125, 60.96, -26406.72)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
