Time,Mean_Distance
4580.00,11335.69
4590.00,11608.17
4600.00,11923.91
4610.00,12251.95
4620.00,12619.66
4630.00,13001.20
4640.00,15110.36
4650.00,15169.47
4660.00,15291.87
4670.00,15462.80
4680.00,15603.50
4690.00,15380.67
4700.00,15200.55
4710.00,14913.41
4720.00,14541.82
4730.00,13984.77
4740.00,13455.59
4750.00,12930.78
4760.00,12407.96
4770.00,11898.44
4780.00,11393.63
4790.00,10881.01
4800.00,10358.35
4810.00,9859.60
4820.00,9357.77
4830.00,8974.93
4840.00,8616.29
4850.00,8277.78
4860.00,7970.60
4870.00,7653.32
4880.00,7366.00
4890.00,7090.56
4900.00,6823.42
4910.00,6547.52
4920.00,5342.43
4930.00,5076.45
4940.00,4825.76
4950.00,4600.08
4960.00,6971.66
4970.00,7218.32
4980.00,5735.54
4990.00,5856.30
5000.00,7964.72
5010.00,8198.93
5020.00,8449.57
5030.00,8696.09
5040.00,8955.49
5050.00,9218.87
5060.00,9467.28
5070.00,9737.10
5080.00,5738.72
5090.00,6327.16
5100.00,6901.54
5110.00,5000.07
5120.00,5193.18
5130.00,5350.08
5140.00,5504.59
5150.00,5665.06
5160.00,5858.66
5170.00,6102.73
5180.00,6433.97
5190.00,6851.74
5200.00,7323.77
5210.00,7820.13
5220.00,8352.82
5230.00,8871.17
5240.00,8988.51
5250.00,8948.38
5260.00,8873.19
5270.00,13097.83
5280.00,12968.49
5290.00,8654.83
5300.00,8634.94
5310.00,8587.83
5320.00,8517.02
5330.00,8446.79
5340.00,8417.71
5350.00,8168.58
5360.00,7948.77
5370.00,7488.83
5380.00,6969.33
5390.00,6499.47
5400.00,6055.19
5410.00,5646.71
5420.00,5300.95
5430.00,5044.39
5440.00,4816.52
5450.00,3429.74
5460.00,3842.24
5470.00,4384.39
5480.00,4972.08
5490.00,5607.69
5500.00,6306.28
5510.00,5934.94
5520.00,6173.15
5530.00,6402.22
5540.00,6727.26
5550.00,7018.11
5560.00,10648.62
5570.00,10704.48
5580.00,10708.21
5590.00,10589.53
5600.00,7926.37
5610.00,8078.28
5620.00,7923.08
5630.00,7846.50
5640.00,7930.26
5650.00,8011.87
5660.00,8122.52
5670.00,8255.14
5680.00,8441.04
5690.00,8606.43
5700.00,7184.97
5710.00,6140.73
5720.00,6290.58
5730.00,6463.45
5740.00,6688.79
5750.00,6957.08
5760.00,7188.14
5770.00,7476.60
5780.00,7762.03
5790.00,6845.32
5800.00,7069.15
5810.00,7379.53
5820.00,7672.84
5830.00,8018.11
5840.00,8396.62
5850.00,6924.83
5860.00,7203.96
5870.00,8427.02
5880.00,8783.92
5890.00,9085.59
5900.00,9288.13
5910.00,9522.42
5920.00,9744.98
5930.00,9792.14
5940.00,9796.71
5950.00,9818.13
5960.00,9865.65
5970.00,9940.58
5980.00,10014.95
5990.00,9345.91
6000.00,9481.43
6010.00,9613.69
6020.00,9782.13
6030.00,9942.10
6040.00,10113.36
6050.00,10334.24
6060.00,10580.22
6070.00,10838.46
6080.00,11038.37
6090.00,11164.20
6100.00,11233.69
6110.00,11232.15
6120.00,10513.96
6130.00,10562.08
6140.00,10632.55
6150.00,10706.81
6160.00,10811.91
6170.00,10904.66
6180.00,10902.09
6190.00,11735.24
6200.00,11605.15
6210.00,12394.53
6220.00,12093.23
6230.00,11792.91
6240.00,11545.14
6250.00,11172.62
6260.00,10704.84
6270.00,10237.84
6280.00,9802.05
6290.00,9398.69
6300.00,9002.15
6310.00,8626.13
6320.00,8262.75
6330.00,7921.37
6340.00,7605.19
6350.00,7257.41
6360.00,7626.20
6370.00,7230.32
6380.00,6748.03
6390.00,6277.14
6400.00,7620.70
6410.00,6988.65
6420.00,6384.10
6430.00,5779.22
6440.00,5165.55
6450.00,4571.41
6460.00,3988.48
6470.00,3413.28
6480.00,2837.09
6490.00,2723.41
6500.00,1925.61
6510.00,2010.28
6520.00,1561.75
6530.00,1270.63
6540.00,1864.03
6550.00,1863.32
6560.00,1827.90
6590.00,2791.52
6600.00,3192.85
6610.00,3911.03
6620.00,4685.87
6630.00,5385.73
6640.00,6144.04
6650.00,6895.29
6660.00,7689.15
6670.00,8493.78
6680.00,9277.11
6690.00,10095.59
6700.00,10863.70
6710.00,7846.09
6720.00,8343.65
6730.00,8840.11
6740.00,9321.60
6750.00,9818.35
6760.00,10329.08
6770.00,10880.97
6780.00,11391.18
6790.00,11902.02
6800.00,9859.93
6810.00,10105.11
6820.00,10188.92
6830.00,10292.96
6840.00,10342.13
6850.00,10072.23
6860.00,8324.20
6870.00,8155.13
6880.00,8020.90
6890.00,9704.07
6900.00,9692.04
6910.00,9701.21
6920.00,9707.90
6930.00,9760.17
6940.00,9810.40
6950.00,9885.52
6960.00,10001.21
6970.00,10111.90
6980.00,10250.29
6990.00,10364.68
7000.00,9188.98
7010.00,9113.65
7020.00,9039.62
7030.00,8987.07
7040.00,8956.68
7050.00,8943.48
7060.00,8944.01
7070.00,11233.43
7080.00,11221.98
7090.00,11175.28
7100.00,11005.05
7110.00,10846.46
7120.00,10764.11
7130.00,10680.70
7140.00,10577.18
7150.00,10507.50
7160.00,10464.13
7170.00,10496.20
7180.00,10502.64
7190.00,10228.27
7200.00,9942.09
7210.00,9608.79
7220.00,9352.22
7230.00,9087.41
7240.00,8694.41
7250.00,9101.74
7260.00,8849.46
7270.00,8625.06
7280.00,8413.26
7290.00,8230.41
7300.00,8045.67
7310.00,7874.59
7320.00,7731.80
7330.00,7601.54
7340.00,7487.86
7350.00,8680.96
7360.00,8527.44
7370.00,8391.75
7380.00,8262.14
7390.00,8140.65
7400.00,8059.64
7410.00,7987.51
7420.00,7914.18
7430.00,7885.77
7440.00,11321.52
7450.00,11326.60
7460.00,11349.76
7470.00,1146.52
7480.00,953.89
7490.00,751.11
7500.00,500.29
7510.00,272.54
7520.00,8069.00
7530.00,5797.91
7540.00,5729.93
7550.00,5629.99
7560.00,5610.12
7570.00,4476.81
7580.00,4478.45
7590.00,6443.50
7600.00,6464.85
7610.00,6518.54
7620.00,6640.81
7630.00,6773.29
7640.00,6917.64
7650.00,7049.10
7660.00,7178.91
7670.00,7295.33
7680.00,7398.78
7690.00,7501.87
7700.00,7608.27
7710.00,6956.76
7720.00,7077.31
7730.00,7197.29
7740.00,7359.68
7750.00,7546.13
7760.00,7728.27
7770.00,7916.27
7780.00,8075.93
7790.00,8241.26
7800.00,8435.24
7810.00,8629.14
7820.00,8832.79
7830.00,8989.41
7840.00,10042.02
7850.00,10178.66
7860.00,10317.15
7870.00,10346.54
7880.00,10406.08
7890.00,10504.01
7900.00,10539.77
7910.00,10547.07
7920.00,10564.51
7930.00,9868.08
7940.00,9866.61
7950.00,9894.22
7960.00,9899.58
7970.00,9929.26
7980.00,9942.90
7990.00,9956.91
8000.00,9917.52
8010.00,9895.68
8020.00,9876.40
8030.00,9782.52
8040.00,9699.12
8050.00,9646.44
8060.00,9243.36
8070.00,9166.40
8080.00,9904.90
8090.00,10558.51
8100.00,10333.95
8110.00,10124.76
8120.00,9906.33
8130.00,9696.77
8140.00,9502.97
8150.00,9308.02
8160.00,9387.47
8170.00,9157.70
8180.00,8937.35
8190.00,8683.31
8200.00,8341.61
8210.00,7999.85
8220.00,7651.15
8230.00,7409.14
8240.00,7148.67
8250.00,7882.45
8260.00,7579.93
8270.00,7282.53
8280.00,6988.84
8290.00,6664.68
8300.00,6313.80
8310.00,6035.83
8320.00,6170.38
8330.00,6033.63
8340.00,5967.07
8350.00,5570.23
8360.00,5016.90
8370.00,5040.03
8380.00,5103.98
8390.00,6027.72
8400.00,6107.30
8410.00,7908.38
8420.00,7839.77
8430.00,7777.17
8440.00,7769.03
8450.00,7823.53
8460.00,7803.89
8470.00,7911.98
8480.00,7188.29
8490.00,7372.20
8500.00,6663.77
8510.00,6844.95
8520.00,7016.54
8530.00,7177.01
8540.00,7321.85
8550.00,7487.41
8560.00,7668.99
8570.00,7850.06
8580.00,8056.42
8590.00,8232.63
8600.00,8448.62
8610.00,8660.03
8620.00,8677.63
8630.00,8694.71
8640.00,8711.71
8650.00,8742.48
8660.00,8775.20
8670.00,8810.80
8680.00,8025.21
8690.00,8009.73
8700.00,7961.29
8710.00,7912.72
8720.00,7827.69
8730.00,7607.81
8740.00,7402.68
8750.00,7217.28
8760.00,7062.88
8770.00,6890.28
8780.00,6697.54
8790.00,6501.00
8800.00,6340.96
8810.00,6919.31
8820.00,6768.00
8830.00,6604.33
8840.00,6546.47
8850.00,6593.39
8860.00,6629.53
8870.00,6664.79
8880.00,6739.80
8890.00,6916.55
8900.00,7107.45
8910.00,8363.60
8920.00,8611.46
8930.00,8789.34
8940.00,9024.71
8950.00,9235.21
8960.00,9468.24
8970.00,9721.91
8980.00,9982.37
8990.00,10252.73
9000.00,10527.01
9010.00,10799.45
9020.00,10939.78
9030.00,12813.45
9040.00,12947.85
9050.00,13080.81
9060.00,13221.91
9070.00,13363.55
9080.00,13527.63
9090.00,11710.94
9100.00,11675.39
9110.00,11542.20
9120.00,11381.75
9130.00,11179.04
9140.00,10978.69
9150.00,10618.91
9160.00,11216.93
9170.00,8614.78
9180.00,8426.48
9190.00,9588.63
9200.00,9401.01
9210.00,9224.88
9220.00,9057.86
9230.00,8916.51
9240.00,8735.73
9250.00,8576.64
9260.00,8447.67
9270.00,8334.13
9280.00,8221.53
9290.00,6969.45
9300.00,6875.10
9310.00,6784.38
9320.00,6698.44
9330.00,7859.14
9340.00,7861.04
9350.00,7751.32
9360.00,7464.27
9370.00,8847.57
9380.00,8629.64
9390.00,8488.28
9400.00,8404.93
9410.00,8295.73
9420.00,6725.58
9430.00,6652.05
9440.00,6623.73
9450.00,6636.26
9460.00,6633.96
9470.00,5733.25
9480.00,5792.80
9490.00,5173.55
9500.00,5258.48
9510.00,5366.92
9520.00,5480.12
9530.00,5605.56
9540.00,6617.81
9550.00,6895.99
9560.00,7177.80
9570.00,7464.26
9580.00,7737.33
9590.00,7893.45
9600.00,7885.47
9610.00,7879.43
9620.00,7941.28
9630.00,7132.61
9640.00,7194.01
9650.00,7266.64
9660.00,7341.16
9670.00,7417.30
9680.00,7504.88
9690.00,7565.27
9700.00,7634.85
9710.00,7719.16
9720.00,7775.18
9730.00,7716.88
9740.00,7671.59
9750.00,7645.63
9760.00,7663.77
9770.00,7637.33
9780.00,7676.45
9790.00,7722.49
9800.00,7623.39
9810.00,7531.72
9820.00,7438.74
9830.00,7355.75
9840.00,7273.45
9850.00,7185.15
9860.00,7113.22
9870.00,7052.34
9880.00,6981.71
9890.00,6924.62
9900.00,6885.30
9910.00,6843.38
9920.00,6885.00
9930.00,6915.08
9940.00,6969.78
9950.00,7058.79
9960.00,7174.02
9970.00,5998.22
9980.00,6254.59
9990.00,6546.97
10000.00,6847.57
10010.00,6928.24
10020.00,6939.87
10030.00,7006.80
10040.00,8194.15
10050.00,8301.88
10060.00,8419.63
10070.00,9165.63
10080.00,9275.45
10090.00,9390.66
10100.00,9534.29
10110.00,9702.76
10120.00,9877.51
10130.00,10018.67
10140.00,10207.35
10150.00,10399.71
10160.00,10536.38
10170.00,9817.31
10180.00,9853.14
10190.00,9914.41
10200.00,10028.18
10210.00,10158.10
10220.00,10285.20
10230.00,10438.81
10240.00,10597.33
10250.00,10738.43
10260.00,10861.96
10270.00,10857.55
10280.00,10736.66
10290.00,10648.91
10300.00,10597.22
10310.00,10569.61
10320.00,10545.06
10330.00,11585.88
10340.00,11414.03
10350.00,11183.28
10360.00,10980.02
10370.00,10789.37
10380.00,10621.93
10390.00,10448.83
10400.00,11252.68
10410.00,11086.89
10420.00,10952.23
10430.00,10828.80
10440.00,10723.04
10450.00,10641.39
10460.00,10583.78
10470.00,10524.84
10480.00,10485.22
10490.00,10457.63
10500.00,10445.23
10510.00,10453.21
10520.00,11415.96
10530.00,11558.02
10540.00,11628.01
10550.00,11616.87
10560.00,11611.48
10570.00,11613.82
10580.00,11637.52
10590.00,13475.00
10600.00,12322.52
10610.00,12876.45
10620.00,9050.88
10630.00,9366.20
10640.00,9549.30
10650.00,9679.17
10660.00,9815.30
10670.00,9957.08
10680.00,10090.07
10690.00,11330.71
10700.00,10481.07
10710.00,10433.67
10720.00,10384.86
10730.00,10341.98
10740.00,10299.14
10750.00,10252.61
10760.00,10212.02
10770.00,10275.29
10780.00,10346.21
10790.00,10430.44
10800.00,11848.03
10810.00,11914.09
10820.00,11984.85
10830.00,12058.52
10840.00,12142.48
10850.00,12217.28
10860.00,12295.56
10870.00,12396.91
10880.00,12535.27
10890.00,12729.32
10900.00,14009.82
10910.00,14237.80
10920.00,14493.07
10930.00,14791.76
10940.00,15067.77
10950.00,15378.19
10960.00,15689.77
10970.00,15987.23
10980.00,16318.77
10990.00,16567.83
11000.00,16407.39
11010.00,16263.86
11020.00,16134.15
11030.00,15846.43
11040.00,15540.02
11050.00,15280.19
11060.00,15058.65
11070.00,14862.81
11080.00,13047.99
11090.00,12906.83
11100.00,12774.51
11110.00,12559.94
11120.00,10573.22
11130.00,10340.49
11140.00,10127.08
11150.00,9092.55
11160.00,8915.16
11170.00,8746.41
11180.00,8582.55
11190.00,8420.27
11200.00,8258.61
11210.00,8141.53
11220.00,8050.87
11230.00,7965.44
11240.00,7771.53
11250.00,7460.03
11260.00,7401.12
11270.00,7341.90
11280.00,7285.35
11290.00,7136.92
11300.00,7137.11
11310.00,7129.92
11320.00,7123.05
11330.00,7122.63
11340.00,7152.07
11350.00,7548.01
11360.00,7617.03
11370.00,7683.71
11380.00,7750.80
11390.00,7581.21
11400.00,7656.74
11410.00,7696.94
11420.00,7725.93
11430.00,7757.79
11440.00,7790.59
11450.00,7825.44
11460.00,7860.65
11470.00,7919.08
11480.00,7980.07
11490.00,8044.39
11500.00,8108.44
11510.00,8175.15
11520.00,8172.90
11530.00,8134.86
11540.00,8102.02
11550.00,8071.62
11560.00,8044.63
11570.00,8021.66
11580.00,8001.03
11590.00,7982.11
11600.00,7966.00
11610.00,7952.79
11620.00,7950.30
11630.00,7959.68
11640.00,7518.41
11650.00,7522.06
11660.00,7092.77
11670.00,7357.15
11680.00,7358.88
11690.00,7362.53
11700.00,7360.71
11710.00,7318.94
11720.00,7277.29
11730.00,7236.35
11740.00,6979.73
11750.00,6961.65
11760.00,6943.11
11770.00,6925.08
11780.00,7104.85
11790.00,7084.14
11800.00,7060.87
11810.00,7093.62
11820.00,6935.91
11830.00,6771.70
11840.00,6818.55
11850.00,6894.34
11860.00,6941.96
11870.00,6790.82
11880.00,6884.41
11890.00,6692.20
11900.00,6787.55
11910.00,6891.72
11920.00,7004.06
11930.00,7113.19
11940.00,7226.42
11950.00,7342.45
11960.00,7462.83
11970.00,7585.59
11980.00,7505.34
11990.00,7661.44
12000.00,7819.49
12010.00,7973.22
12020.00,8131.32
12030.00,8269.86
12040.00,8391.12
12050.00,8257.26
12060.00,8339.92
12070.00,8427.29
12080.00,8194.94
12090.00,8241.58
12100.00,8319.51
12110.00,8270.98
12120.00,8149.66
12130.00,8024.67
12140.00,7897.74
12150.00,7780.56
12160.00,7656.02
12170.00,7539.14
12180.00,7419.54
12190.00,7084.06
12200.00,7118.01
12210.00,7018.10
12220.00,6924.28
12230.00,6830.36
12240.00,6742.56
12250.00,6654.11
12260.00,6360.67
12270.00,6279.24
12280.00,6199.97
12290.00,6119.30
12300.00,6041.07
12310.00,5974.35
12320.00,5950.77
12330.00,5942.94
12340.00,5954.81
12350.00,5988.24
12360.00,6255.79
12370.00,6312.97
12380.00,6592.49
12390.00,6676.59
12400.00,6768.49
12410.00,6854.77
12420.00,6954.24
12430.00,7298.49
12440.00,7406.90
12450.00,7527.35
12460.00,7661.78
12470.00,7779.12
12480.00,7925.28
12490.00,8053.88
12500.00,8181.38
12510.00,8325.38
12520.00,8481.07
12530.00,8584.65
12540.00,8606.88
12550.00,8587.05
12560.00,8567.86
12570.00,8555.03
12580.00,8518.97
12590.00,8442.81
12600.00,8363.51
12610.00,8214.63
12620.00,8151.97
12630.00,8057.20
12640.00,7804.00
12650.00,7681.32
12660.00,7561.57
12670.00,7438.36
12680.00,7317.13
12690.00,7204.46
12700.00,7092.34
12710.00,6980.31
12720.00,6871.75
12730.00,6764.59
12740.00,6825.95
12750.00,6890.74
12760.00,6831.13
12770.00,6777.31
12780.00,6727.65
12790.00,6679.66
12800.00,6632.63
12810.00,6457.08
12820.00,6024.15
12830.00,6003.45
12840.00,5992.13
12850.00,5994.69
12860.00,6404.73
12870.00,6442.44
12880.00,6480.99
12890.00,6529.05
12900.00,6411.02
12910.00,6490.16
12920.00,6570.57
12930.00,6443.79
12940.00,6524.15
12950.00,6605.37
12960.00,6687.41
12970.00,6770.20
12980.00,6853.72
12990.00,6896.60
13000.00,6914.62
13010.00,7073.03
13020.00,7099.65
13030.00,7136.97
13040.00,7184.65
13050.00,7222.41
13060.00,7048.44
13070.00,7086.91
13080.00,7126.72
13090.00,7196.52
13100.00,7274.85
13110.00,7359.82
13120.00,7453.42
13130.00,7555.23
13140.00,7617.92
13150.00,7647.52
13160.00,7675.87
13170.00,7951.15
13180.00,7996.25
13190.00,8045.64
13200.00,8076.91
13210.00,8099.95
13220.00,8151.39
13230.00,8174.47
13240.00,7896.03
13250.00,7834.72
13260.00,7724.14
13270.00,7612.53
13280.00,7502.35
13290.00,7393.65
13300.00,7286.45
13310.00,7170.90
13320.00,7055.54
13330.00,6945.99
13340.00,6833.48
13350.00,6722.22
13360.00,6614.03
13370.00,6496.11
13380.00,6385.97
13390.00,6278.42
13400.00,6416.61
13410.00,6619.77
13420.00,6534.92
13430.00,6661.95
13440.00,6603.30
13450.00,6730.13
13460.00,6675.73
13470.00,6622.54
13480.00,6579.99
13490.00,6568.76
13500.00,6559.46
13510.00,6553.10
13520.00,6550.95
13530.00,6549.11
13540.00,6669.33
13550.00,6666.38
13560.00,6664.52
13570.00,6663.50
13580.00,6663.46
13590.00,6664.27
13600.00,6666.02
13610.00,6669.00
13620.00,6713.02
13630.00,6739.24
13640.00,6786.70
13650.00,6761.58
13660.00,6806.76
13670.00,6857.84
13680.00,6912.03
13690.00,6974.65
13700.00,7031.48
13710.00,7046.64
13720.00,7162.00
13730.00,7228.00
13740.00,7282.48
13750.00,7330.02
13760.00,7386.20
13770.00,7438.62
13780.00,7492.52
13790.00,7558.87
13800.00,7626.15
13810.00,7694.28
13820.00,7748.34
13830.00,7803.63
13840.00,7870.13
13850.00,7938.38
13860.00,7997.85
13870.00,8039.32
13880.00,8002.21
13890.00,8003.81
13900.00,7996.10
13910.00,8002.43
13920.00,8019.54
13930.00,8033.42
13940.00,8043.73
13950.00,8061.99
13960.00,8026.29
13970.00,8061.49
13980.00,8047.96
13990.00,8035.26
14000.00,8011.22
14010.00,7994.12
14020.00,7953.57
14030.00,7829.54
14040.00,7802.39
14050.00,7746.21
14060.00,7695.69
14070.00,7654.64
14080.00,7619.38
14090.00,7684.33
14100.00,7696.87
14110.00,7827.13
14120.00,7847.18
14130.00,7874.62
14140.00,7908.27
14150.00,7948.15
14160.00,7994.02
14170.00,8041.98
14180.00,8088.89
14190.00,8139.23
14200.00,8192.12
14210.00,8249.10
14220.00,8289.56
14230.00,8258.59
14240.00,8212.63
14250.00,8163.24
14260.00,8126.21
14270.00,8108.67
14280.00,8099.62
14290.00,8097.85
14300.00,8397.26
14310.00,8465.48
14320.00,8447.50
14330.00,8433.42
14340.00,8388.98
14350.00,8263.36
14360.00,8156.03
14370.00,8052.92
14380.00,7956.08
14390.00,7863.07
14400.00,7774.19
14410.00,7701.56
14420.00,7659.86
14430.00,7612.25
14440.00,7569.36
14450.00,7531.39
14460.00,7505.96
14470.00,7489.45
14480.00,7477.14
14490.00,7473.11
14500.00,7475.36
14510.00,7482.51
14520.00,7459.85
14530.00,7479.19
14540.00,7507.74
14550.00,7546.21
14560.00,7586.41
14570.00,7665.96
14580.00,7629.79
14590.00,7593.44
14600.00,7564.84
14610.00,7545.73
14620.00,8644.23
14630.00,8636.01
14640.00,8633.75
14650.00,8736.49
