Simulation_Time,Event_Type,Drone_1,Drone_2,Distance,Collision_Threshold,Drone_1_Position,Drone_2_Position,Drone_1_Speed,Drone_2_Speed
9906.00,COLLISION_END,FP000066,FP000070,88.00,30.00,"(10163.79,15.24,8096.79)","(10075.79,15.24,8096.79)",44.00,44.00
9908.00,COLLISION_START,FP000065,FP000066,18.86,30.00,"(10262.88,0.00,8095.92)","(10251.79,15.24,8096.79)",0.00,44.00
9909.00,COLLISION_END,FP000065,FP000066,36.29,30.00,"(10262.88,0.00,8095.92)","(10295.79,15.24,8096.79)",0.00,44.00
10695.00,COLLISION_START,FP000058,FP000059,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
10756.00,COLLISION_END,FP000058,FP000059,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
11111.00,COLLISION_START,FP000088,FP000098,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
11124.00,COLLISION_END,FP000088,FP000098,40.00,30.00,"(4525.74,4.31,18989.35)","(4536.81,0.00,19027.54)",20.00,0.00
11142.00,COLLISION_START,FP000089,FP000098,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
11207.00,COLLISION_START,FP000100,FP000111,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11233.00,COLLISION_START,FP000100,FP000115,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11233.00,COLLISION_START,FP000111,FP000115,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11248.00,COLLISION_START,FP000083,FP000098,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
11248.00,COLLISION_START,FP000083,FP000089,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
11277.00,COLLISION_END,FP000083,FP000098,40.00,30.00,"(4536.81,0.00,19027.54)","(4525.74,4.31,18989.35)",0.00,20.00
11277.00,COLLISION_END,FP000089,FP000098,40.00,30.00,"(4536.81,0.00,19027.54)","(4525.74,4.31,18989.35)",0.00,20.00
11323.00,COLLISION_END,FP000083,FP000089,40.00,30.00,"(4536.81,0.00,19027.54)","(4525.74,4.31,18989.35)",0.00,20.00
11385.00,COLLISION_START,FP000111,FP000114,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11385.00,COLLISION_START,FP000114,FP000115,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11385.00,COLLISION_START,FP000100,FP000114,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11633.00,COLLISION_START,FP000111,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11633.00,COLLISION_START,FP000114,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11633.00,COLLISION_START,FP000100,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11633.00,COLLISION_START,FP000115,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11660.00,COLLISION_START,FP000100,FP000106,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11660.00,COLLISION_START,FP000106,FP000115,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11660.00,COLLISION_START,FP000106,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11660.00,COLLISION_START,FP000106,FP000114,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11660.00,COLLISION_START,FP000106,FP000111,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11667.00,COLLISION_START,FP000083,FP000097,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
11780.00,COLLISION_START,FP000083,FP000092,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
11780.00,COLLISION_START,FP000092,FP000097,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
