OAS_NUMBER,VERIFICATION_STATUS,COUNTRY,STATE,CITY,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATITUDE_DMS,LONGITUDE_DMS,OBSTACLE_TYPE,QUANTITY,AGL_HT,AMSL_HT,LIGHTING,HORIZONTAL_ACCURACY,VERTICAL_ACCURACY,MARK_INDICATOR,FAA_STUDY_NUMBER,ACTION,JULIAN_DATE
36-197585,O,US,NY,BROOKLYN,40.714608,-73.967583,40 42 52.59N,073 58 03.30W,BLDG,1,257,274,R,4.0,D,N,2020AEA04398OE C,20,23103
36-025315,O,US,NY,BROOKLYN,40.71515,-73.962531,40 42 54.54N,073 57 45.11W,BLDG,1,65,113,N,1.0,A,N,2011AEA00503OE A,20,11210
36-030247,O,US,NY,NEW YORK,40.715372,-74.012961,40 42 55.34N,074 00 46.66W,BLDG,1,813,820,N,4.0,D,N,2016AEA08138OE C,20,19028
36-025314,O,US,NY,NEW YORK,40.715731,-74.005356,40 42 56.63N,074 00 19.28W,BLDG,1,91,123,N,1.0,A,N,2011AEA00502OE A,20,11210
36-001420,O,US,NY,NEW YORK,40.715833,-73.985278,40 42 57.00N,073 59 07.00W,BLDG,4,273,303,U,3.0,C,U,C,20,14152
36-137689,O,US,NY,BROOKLYN,40.715867,-73.966506,40 42 57.12N,073 57 59.42W,BLDG,1,472,491,R,4.0,D,N,2018AEA00600OE C,20,20241
36-025320,O,US,NY,NEW YORK,40.716506,-74.005492,40 42 59.42N,074 00 19.77W,BLDG,1,571,598,R,1.0,A,N,2014AEA06003OE C,20,15026
36-119820,U,US,NY,NEW YORK,40.716986,-74.004094,40 43 01.15N,074 00 14.74W,ANTENNA,1,157,192,N,1.0,A,N,2012AEA03060OE A,20,18023
36-197574,O,US,NY,NEW YORK,40.717083,-73.987328,40 43 01.50N,073 59 14.38W,BLDG,1,340,373,R,4.0,D,N,2020AEA05203OE A,20,22271
36-030044,O,US,NY,NEW YORK,40.717639,-74.006039,40 43 03.50N,074 00 21.74W,BLDG,1,814,831,R,4.0,D,N,2012AEA05438OE A,20,16358
36-020560,O,US,NY,NEW YORK,40.719167,-73.963733,40 43 09.00N,073 57 49.44W,BLDG,1,426,438,R,5.0,D,N,2012AEA04821OE C,20,14121
36-000297,O,US,NY,NEW YORK,40.719444,-74.004722,40 43 10.00N,074 00 17.00W,BLDG,1,510,524,U,3.0,C,N,C,20,14152
36-025516,O,US,NY,NEW YORK,40.719814,-73.984403,40 43 11.33N,073 59 03.85W,BLDG,1,71,96,N,2.0,C,N,2009AEA04113OE A,20,11307
36-002229,U,US,NY,NEW YORK,40.72,-74.004722,40 43 12.00N,074 00 17.00W,BLDG-TWR,1,572,587,D,4.0,D,N,2000AEA00987OE C,20,14124
36-025455,O,US,NY,NEW YORK,40.720122,-74.006208,40 43 12.44N,074 00 22.35W,BLDG,1,143,161,N,1.0,A,N,2012AEA01786OE C,20,12129
36-025621,O,US,NY,BROOKLYN,40.720833,-73.937764,40 43 15.00N,073 56 15.95W,BLDG,1,99,141,N,2.0,C,N,2012AEA00166OE A,20,12065
36-150834,O,US,NY,NEW YORK,40.724008,-74.005686,40 43 26.43N,074 00 20.47W,BLDG,1,326,339,R,4.0,D,N,2017AEA10766OE A,20,19143
36-150829,O,US,NY,NEW YORK,40.724186,-74.005656,40 43 27.07N,074 00 20.36W,BLDG,1,326,339,R,4.0,D,N,2017AEA10761OE A,20,19143
36-169564,O,US,NY,NEW YORK,40.724444,-74.006111,40 43 28.00N,074 00 22.00W,BLDG,1,350,363,D,4.0,D,N,2019AEA01844OE A,20,20175
36-025305,O,US,NY,NEW YORK,40.724836,-73.975831,40 43 29.41N,073 58 32.99W,BLDG,1,129,137,N,1.0,A,N,2011AEA00466OE A,20,11209
36-220072,O,US,NY,NEW YORK,40.726367,-74.005861,40 43 34.92N,074 00 21.10W,BLDG,1,326,345,R,4.0,D,N,2021AEA10535OE A,20,23151
36-000968,O,US,NY,NEW YORK,40.726667,-73.998889,40 43 36.00N,073 59 56.00W,BLDG,1,300,330,U,3.0,C,U,C,20,14152
